country,state,county,series_Desc,series_id,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,filename
United States,TX,Lynn County,House Price Index,ATNHPIUS48305A,,,,,,,,,,United_States_TX_Lynn_County_House_Price_Index
United States,TX,Madison County,House Price Index,ATNHPIUS48307A,,,,,,,,,,United_States_TX_Madison_County_House_Price_Index
United States,TX,Marion County,House Price Index,ATNHPIUS48309A,,,,,,,,,,United_States_TX_Marion_County_House_Price_Index
United States,TX,Martin County,House Price Index,ATNHPIUS48311A,,,,,,,,,,United_States_TX_Martin_County_House_Price_Index
United States,TX,Mason County,House Price Index,ATNHPIUS48313A,,,,,,,,,,United_States_TX_Mason_County_House_Price_Index
United States,TX,Matagorda County,House Price Index,ATNHPIUS48315A,,,,,,,,,,United_States_TX_Matagorda_County_House_Price_Index
United States,TX,Maverick County,House Price Index,ATNHPIUS48317A,,,,,,,,,,United_States_TX_Maverick_County_House_Price_Index
United States,TX,McCulloch County,House Price Index,ATNHPIUS48319A,,,,,,,,,,United_States_TX_McCulloch_County_House_Price_Index
United States,TX,McLennan County,House Price Index,ATNHPIUS48321A,,,,,,,,,,United_States_TX_McLennan_County_House_Price_Index
United States,TX,McMullen County,House Price Index,ATNHPIUS48323A,,,,,,,,,,United_States_TX_McMullen_County_House_Price_Index
United States,TX,Medina County,House Price Index,ATNHPIUS48325A,,,,,,,,,,United_States_TX_Medina_County_House_Price_Index
United States,TX,Menard County,House Price Index,ATNHPIUS48327A,,,,,,,,,,United_States_TX_Menard_County_House_Price_Index
United States,TX,Midland County,House Price Index,ATNHPIUS48329A,,,,,,,,,,United_States_TX_Midland_County_House_Price_Index
United States,TX,Milam County,House Price Index,ATNHPIUS48331A,,,,,,,,,,United_States_TX_Milam_County_House_Price_Index
United States,TX,Mills County,House Price Index,ATNHPIUS48333A,,,,,,,,,,United_States_TX_Mills_County_House_Price_Index
United States,TX,Mitchell County,House Price Index,ATNHPIUS48335A,,,,,,,,,,United_States_TX_Mitchell_County_House_Price_Index
United States,TX,Montague County,House Price Index,ATNHPIUS48337A,,,,,,,,,,United_States_TX_Montague_County_House_Price_Index
United States,TX,Montgomery County,House Price Index,ATNHPIUS48339A,,,,,,,,,,United_States_TX_Montgomery_County_House_Price_Index
United States,TX,Moore County,House Price Index,ATNHPIUS48341A,,,,,,,,,,United_States_TX_Moore_County_House_Price_Index
United States,TX,Morris County,House Price Index,ATNHPIUS48343A,,,,,,,,,,United_States_TX_Morris_County_House_Price_Index
United States,TX,Motley County,House Price Index,ATNHPIUS48345A,,,,,,,,,,United_States_TX_Motley_County_House_Price_Index
United States,TX,Nacogdoches County,House Price Index,ATNHPIUS48347A,,,,,,,,,,United_States_TX_Nacogdoches_County_House_Price_Index
United States,TX,Navarro County,House Price Index,ATNHPIUS48349A,,,,,,,,,,United_States_TX_Navarro_County_House_Price_Index
United States,TX,Newton County,House Price Index,ATNHPIUS48351A,,,,,,,,,,United_States_TX_Newton_County_House_Price_Index
United States,TX,Nolan County,House Price Index,ATNHPIUS48353A,,,,,,,,,,United_States_TX_Nolan_County_House_Price_Index
United States,TX,Nueces County,House Price Index,ATNHPIUS48355A,,,,,,,,,,United_States_TX_Nueces_County_House_Price_Index
United States,TX,Ochiltree County,House Price Index,ATNHPIUS48357A,,,,,,,,,,United_States_TX_Ochiltree_County_House_Price_Index
United States,TX,Oldham County,House Price Index,ATNHPIUS48359A,,,,,,,,,,United_States_TX_Oldham_County_House_Price_Index
United States,TX,Orange County,House Price Index,ATNHPIUS48361A,,,,,,,,,,United_States_TX_Orange_County_House_Price_Index
United States,TX,Palo Pinto County,House Price Index,ATNHPIUS48363A,,,,,,,,,,United_States_TX_Palo_Pinto_County_House_Price_Index
United States,TX,Panola County,House Price Index,ATNHPIUS48365A,,,,,,,,,,United_States_TX_Panola_County_House_Price_Index
United States,TX,Parker County,House Price Index,ATNHPIUS48367A,,,,,,,,,,United_States_TX_Parker_County_House_Price_Index
United States,TX,Parmer County,House Price Index,ATNHPIUS48369A,,,,,,,,,,United_States_TX_Parmer_County_House_Price_Index
United States,TX,Pecos County,House Price Index,ATNHPIUS48371A,,,,,,,,,,United_States_TX_Pecos_County_House_Price_Index
United States,TX,Polk County,House Price Index,ATNHPIUS48373A,,,,,,,,,,United_States_TX_Polk_County_House_Price_Index
United States,TX,Potter County,House Price Index,ATNHPIUS48375A,,,,,,,,,,United_States_TX_Potter_County_House_Price_Index
United States,TX,Presidio County,House Price Index,ATNHPIUS48377A,,,,,,,,,,United_States_TX_Presidio_County_House_Price_Index
