country,state,county,series_Desc,series_id,,,,,,,,,
United States,TX,Navarro County,House Price Index,ATNHPIUS48349A,,,,,,,,,
United States,TX,Newton County,House Price Index,ATNHPIUS48351A,,,,,,,,,
United States,TX,Nolan County,House Price Index,ATNHPIUS48353A,,,,,,,,,
United States,TX,Nueces County,House Price Index,ATNHPIUS48355A,,,,,,,,,
United States,TX,Ochiltree County,House Price Index,ATNHPIUS48357A,,,,,,,,,
United States,TX,Oldham County,House Price Index,ATNHPIUS48359A,,,,,,,,,
United States,TX,Orange County,House Price Index,ATNHPIUS48361A,,,,,,,,,
United States,TX,Palo Pinto County,House Price Index,ATNHPIUS48363A,,,,,,,,,
United States,TX,Panola County,House Price Index,ATNHPIUS48365A,,,,,,,,,
United States,TX,Parker County,House Price Index,ATNHPIUS48367A,,,,,,,,,
United States,TX,Parmer County,House Price Index,ATNHPIUS48369A,,,,,,,,,
United States,TX,Pecos County,House Price Index,ATNHPIUS48371A,,,,,,,,,
United States,TX,Polk County,House Price Index,ATNHPIUS48373A,,,,,,,,,
United States,TX,Potter County,House Price Index,ATNHPIUS48375A,,,,,,,,,
United States,TX,Presidio County,House Price Index,ATNHPIUS48377A,,,,,,,,,
United States,TX,Rains County,House Price Index,ATNHPIUS48379A,,,,,,,,,
United States,TX,Randall County,House Price Index,ATNHPIUS48381A,,,,,,,,,
United States,TX,Reagan County,House Price Index,ATNHPIUS48383A,,,,,,,,,
United States,TX,Real County,House Price Index,ATNHPIUS48385A,,,,,,,,,
United States,TX,Red River County,House Price Index,ATNHPIUS48387A,,,,,,,,,
United States,TX,Reeves County,House Price Index,ATNHPIUS48389A,,,,,,,,,
United States,TX,Refugio County,House Price Index,ATNHPIUS48391A,,,,,,,,,
United States,TX,Roberts County,House Price Index,ATNHPIUS48393A,,,,,,,,,
United States,TX,Robertson County,House Price Index,ATNHPIUS48395A,,,,,,,,,
United States,TX,Rockwall County,House Price Index,ATNHPIUS48397A,,,,,,,,,
United States,TX,Runnels County,House Price Index,ATNHPIUS48399A,,,,,,,,,
United States,TX,Rusk County,House Price Index,ATNHPIUS48401A,,,,,,,,,
United States,TX,Sabine County,House Price Index,ATNHPIUS48403A,,,,,,,,,
United States,TX,San Augustine County,House Price Index,ATNHPIUS48405A,,,,,,,,,
United States,TX,San Jacinto County,House Price Index,ATNHPIUS48407A,,,,,,,,,
United States,TX,San Patricio County,House Price Index,ATNHPIUS48409A,,,,,,,,,
United States,TX,San Saba County,House Price Index,ATNHPIUS48411A,,,,,,,,,
United States,TX,Schleicher County,House Price Index,ATNHPIUS48413A,,,,,,,,,
United States,TX,Scurry County,House Price Index,ATNHPIUS48415A,,,,,,,,,
United States,TX,Shackelford County,House Price Index,ATNHPIUS48417A,,,,,,,,,
United States,TX,Shelby County,House Price Index,ATNHPIUS48419A,,,,,,,,,
United States,TX,Sherman County,House Price Index,ATNHPIUS48421A,,,,,,,,,
United States,TX,Smith County,House Price Index,ATNHPIUS48423A,,,,,,,,,
United States,TX,Somervell County,House Price Index,ATNHPIUS48425A,,,,,,,,,
United States,TX,Starr County,House Price Index,ATNHPIUS48427A,,,,,,,,,
United States,TX,Stephens County,House Price Index,ATNHPIUS48429A,,,,,,,,,
United States,TX,Sterling County,House Price Index,ATNHPIUS48431A,,,,,,,,,
United States,TX,Stonewall County,House Price Index,ATNHPIUS48433A,,,,,,,,,
United States,TX,Sutton County,House Price Index,ATNHPIUS48435A,,,,,,,,,
United States,TX,Swisher County,House Price Index,ATNHPIUS48437A,,,,,,,,,
United States,TX,Tarrant County,House Price Index,ATNHPIUS48439A,,,,,,,,,
United States,TX,Taylor County,House Price Index,ATNHPIUS48441A,,,,,,,,,
United States,TX,Terrell County,House Price Index,ATNHPIUS48443A,,,,,,,,,
United States,TX,Terry County,House Price Index,ATNHPIUS48445A,,,,,,,,,
United States,TX,Throckmorton County,House Price Index,ATNHPIUS48447A,,,,,,,,,
United States,TX,Titus County,House Price Index,ATNHPIUS48449A,,,,,,,,,
United States,TX,Tom Green County,House Price Index,ATNHPIUS48451A,,,,,,,,,
United States,TX,Travis County,House Price Index,ATNHPIUS48453A,,,,,,,,,
United States,TX,Trinity County,House Price Index,ATNHPIUS48455A,,,,,,,,,
United States,TX,Tyler County,House Price Index,ATNHPIUS48457A,,,,,,,,,
United States,TX,Upshur County,House Price Index,ATNHPIUS48459A,,,,,,,,,
United States,TX,Upton County,House Price Index,ATNHPIUS48461A,,,,,,,,,
United States,TX,Uvalde County,House Price Index,ATNHPIUS48463A,,,,,,,,,
United States,TX,Val Verde County,House Price Index,ATNHPIUS48465A,,,,,,,,,
United States,TX,Van Zandt County,House Price Index,ATNHPIUS48467A,,,,,,,,,
United States,TX,Victoria County,House Price Index,ATNHPIUS48469A,,,,,,,,,
United States,TX,Walker County,House Price Index,ATNHPIUS48471A,,,,,,,,,
United States,TX,Waller County,House Price Index,ATNHPIUS48473A,,,,,,,,,
United States,TX,Ward County,House Price Index,ATNHPIUS48475A,,,,,,,,,
United States,TX,Washington County,House Price Index,ATNHPIUS48477A,,,,,,,,,
United States,TX,Webb County,House Price Index,ATNHPIUS48479A,,,,,,,,,
United States,TX,Wharton County,House Price Index,ATNHPIUS48481A,,,,,,,,,
United States,TX,Wheeler County,House Price Index,ATNHPIUS48483A,,,,,,,,,
United States,TX,Wichita County,House Price Index,ATNHPIUS48485A,,,,,,,,,
United States,TX,Wilbarger County,House Price Index,ATNHPIUS48487A,,,,,,,,,
United States,TX,Willacy County,House Price Index,ATNHPIUS48489A,,,,,,,,,
United States,TX,Williamson County,House Price Index,ATNHPIUS48491A,,,,,,,,,
United States,TX,Wilson County,House Price Index,ATNHPIUS48493A,,,,,,,,,
United States,TX,Winkler County,House Price Index,ATNHPIUS48495A,,,,,,,,,
United States,TX,Wise County,House Price Index,ATNHPIUS48497A,,,,,,,,,
United States,TX,Wood County,House Price Index,ATNHPIUS48499A,,,,,,,,,
United States,TX,Yoakum County,House Price Index,ATNHPIUS48501A,,,,,,,,,
United States,TX,Young County,House Price Index,ATNHPIUS48503A,,,,,,,,,
United States,TX,Zapata County,House Price Index,ATNHPIUS48505A,,,,,,,,,
United States,TX,Zavala County,House Price Index,ATNHPIUS58507A,,,,,,,,,
United States,TX,Anderson County,Household Income,MHITX48001A052NCEN,,,,,,,,,
United States,TX,Andrews County,Household Income,MHITX48003A052NCEN,,,,,,,,,
United States,TX,Angelina County,Household Income,MHITX48005A052NCEN,,,,,,,,,
United States,TX,Aransas County,Household Income,MHITX48007A052NCEN,,,,,,,,,
United States,TX,Archer County,Household Income,MHITX48009A052NCEN,,,,,,,,,
United States,TX,Armstrong County,Household Income,MHITX48011A052NCEN,,,,,,,,,
United States,TX,Atascosa County,Household Income,MHITX48013A052NCEN,,,,,,,,,
United States,TX,Austin County,Household Income,MHITX48015A052NCEN,,,,,,,,,
United States,TX,Bailey County,Household Income,MHITX48017A052NCEN,,,,,,,,,
United States,TX,Bandera County,Household Income,MHITX48019A052NCEN,,,,,,,,,
United States,TX,Bastrop County,Household Income,MHITX48021A052NCEN,,,,,,,,,
United States,TX,Baylor County,Household Income,MHITX48023A052NCEN,,,,,,,,,
United States,TX,Bee County,Household Income,MHITX48025A052NCEN,,,,,,,,,
United States,TX,Bell County,Household Income,MHITX48027A052NCEN,,,,,,,,,
United States,TX,Bexar County,Household Income,MHITX48029A052NCEN,,,,,,,,,
United States,TX,Blanco County,Household Income,MHITX48031A052NCEN,,,,,,,,,
United States,TX,Borden County,Household Income,MHITX48033A052NCEN,,,,,,,,,
